Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251754480$325,1601644374,1723636611,121992237,2
6251754480$324,1601644358,1722774936,121130578,2
6251754480$327,1601644406,1725418781,123774375,2
6251754480$326,1601644390,1723636619,121992229,2
6251754480$328,1601644440,1721925083,120280643,2
6251712256$768,1373720310,1735328993,361608683,2
6251712256$769,1373720324,1731479091,357758767,2
6251712256$760,1373720186,1734478019,360757833,2
6251712256$762,1373720226,1741978050,368257824,2
6251712256$763,1373720240,1751387886,377667646,2
6251712256$764,1373720254,1724558869,350838615,2
6251712256$765,1373720268,1743934170,370213902,2
6251712256$766,1373720282,1724559311,350839029,2
6251712256$767,1373720296,1743147969,369427673,2
6251726235$418,1442204268,3076473684,1634269416,2
6251726235$419,1442204282,3147521214,1705316932,2
6251803864$832,2178752140,3142553476,963801336,2
6251803864$833,2178752194,2929045839,750293645,2
6251803864$830,2178752105,3058771067,880018962,2
6251803864$831,2178752119,2848944764,670192645,2
6251803864$836,2178752261,2853630491,674878230,2
6251803864$837,2178752275,2894926373,716174098,2
6251803864$834,2178752216,2910769341,732017125,2
6251803864$835,2178752243,3026537368,847785125,2
6251803864$838,2178752289,2895727902,716975613,2
6251803864$839,2178752303,3063070046,884317743,2
6251725155$577,1442190674,1820003782,377813108,2
6251725155$576,1442190658,1846008055,403817397,2
6251725155$575,1442190644,1823718555,381527911,2
6251725155$574,1442190626,1825654653,383464027,2
6251725155$573,1442190612,1835020426,392829814,2
6251725155$572,1442190598,1829994919,387804321,2
6251725155$571,1442190584,1842164781,399974197,2
6251725155$570,1442190570,1813957779,371767209,2
6251725155$579,1442190702,1873132333,430941631,2
6251725155$578,1442190688,1852418793,410228105,2
6251540546$158,0,1711489120,1711489120,2
6251540546$159,0,1719064959,1719064959,2
6251969145$20,4841040934,5368414515,527373581,2
6251969145$27,4841041032,5383978163,542937131,2
6251969145$26,4841041018,5366020104,524979086,2
6251969145$25,4841041004,5383978909,542937905,2
6251969145$24,4841040990,5372505608,531464618,2
6251749537$31,1574499400,1795679231,221179831,2
6251812952$192,2205324915,5203538244,2998213329,2
6251749537$34,1574499492,1787487846,212988354,2
6251749537$37,1574499565,1795679199,221179634,2
6251812952$196,2205324995,5079613688,2874288693,2
